エレベーターID,更新日,契約状況,台数,地区,契約日,保守開始月,現場区分,管理番号,旧管理番号,入札判定,契約方式,請求サイクル　数字,契約金額,点検者制約（資格者等）,現場名,現場名ﾌﾘｶﾞﾅ,現場郵便番号,現場住所,マップ,現場TEL,現場FAX,昇降機種別,その他(種別),メーカー,その他(メーカー),機種,旧機種,部品供給停止予定,照明LED化完了日,巻上機型式,駆動方式,その他(駆動方式),製造年月日,リニューアル施工年月,MFG番号,定員,その他(定員),積載,その他(積載),速度,その他(速度),停止階床,遠隔監視種別,遠隔監視装置　回線種別,遠隔監視装置　回線番号,egsコード,点検サイクル,検査有効月,検査実施月,整理番号,契約者,契約者ﾌﾘｶﾞﾅ,契約者（役職名）,契約者（法人）代表者名,契約者（法人）代表者名ﾌﾘｶﾞﾅ,契約者郵便番号,契約者住所,契約者TEL,契約者FAX,報告書郵送先,請求サイクル,所有者,所有者ﾌﾘｶﾞﾅ,所有者郵便番号,所有者住所,所有者TEL,所有者FAX,管理者,管理者ﾌﾘｶﾞﾅ,管理者郵便番号,管理者住所,管理者TEL,管理者FAX,備考,点検連絡など担当者、報告書,鍵保管場所
E-000000414,2025/7/29 11:37,契約中,1,佐世保,,2023年6月,他社,NS-365,,一般,YP4,1,11000,制約なし,リゾートホテルＣａｒａ　１号機,ﾘｿﾞｰﾄﾎﾃﾙｶｰﾗｲﾁｺﾞｳｷ,857-0811,長崎県佐世保市高梨町62,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92857-0811%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E6%A2%A8%E7%94%BA62&ppois=33.180723879658835_129.73444698987598_%E3%80%92857-0811%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E6%A2%A8%E7%94%BA62_~&cp=33.180724~129.734447&v=2&sV=1&FORM=MIRE&qpvt=%e4%bd%90%e4%b8%96%e4%bf%9d%e5%b8%82%e9%ab%98%e6%a2%a8%e7%94%ba62,0956-25-0078,,ロープ式エレベーター,,三菱,,VFEL,,,,,ロープ式,,2000/5/1,,GC-836,6人,,450㎏,,60m/min,,6st,,,,,"3月	6月	9月	12月",7月,6月,0000-01087,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000415,2025/7/29 11:37,契約中,1,佐世保,,2023年6月,他社,NS-366,,一般,YP4,1,11000,制約なし,リゾートホテルＣａｒａ　２号機,ﾘｿﾞｰﾄﾎﾃﾙｶｰﾗﾆｺﾞｳｷ,857-0811,長崎県佐世保市高梨町62,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92857-0811%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E6%A2%A8%E7%94%BA62&ppois=33.180723879658835_129.73444698987598_%E3%80%92857-0811%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E6%A2%A8%E7%94%BA62_~&cp=33.180724~129.734447&v=2&sV=1&FORM=MIRE&qpvt=%e4%bd%90%e4%b8%96%e4%bf%9d%e5%b8%82%e9%ab%98%e6%a2%a8%e7%94%ba62,0956-25-0078,,ロープ式エレベーター,,三菱,,VFEL,,,,,ロープ式,,2000/5/1,,GC-836,6人,,450㎏,,60m/min,,6st,,,,,"3月	6月	9月	12月",7月,6月,0000-01088,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000416,2025/7/29 11:37,契約中,1,佐世保,,2023年6月,他社,NS-367,,一般,YP4,1,11000,制約なし,リゾートホテルＣａｒａ　３号機,ﾘｿﾞｰﾄﾎﾃﾙｶｰﾗｻﾝｺﾞｳｷ,857-0811,長崎県佐世保市高梨町62,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92857-0811%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E6%A2%A8%E7%94%BA62&ppois=33.180723879658835_129.73444698987598_%E3%80%92857-0811%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E6%A2%A8%E7%94%BA62_~&cp=33.180724~129.734447&v=2&sV=1&FORM=MIRE&qpvt=%e4%bd%90%e4%b8%96%e4%bf%9d%e5%b8%82%e9%ab%98%e6%a2%a8%e7%94%ba62,0956-25-0078,,ロープ式エレベーター,,三菱,,VFEL,,,,,ロープ式,,2000/4/1,,GC-836,6人,,450㎏,,60m/min,,6st,,,,,"3月	6月	9月	12月",7月,6月,0000-01089,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000417,2025/7/29 11:37,契約中,1,佐世保,,2023年2月,他社,NS-344,,一般,YP4,1,9000,制約なし,クギマチビル　１号機,ｸｷﾞﾏﾁﾋﾞﾙｲﾁｺﾞｳｷ,857-1162,長崎県佐世保市卸本町21-3,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=KUGIMACHI&ss=ypid.YN5286x4686224035054459053&ppois=33.15085983276367_129.76759338378906_KUGIMACHI_YN5286x4686224035054459053~&cp=33.15086~129.767593&v=2&sV=1,0956-32-4134,,ロープ式エレベーター,,三菱,,VFDL,,,,,ロープ式,,1993/11/1,,H6-925,9人,,600㎏,,45m/min,,5st,,,,,"2月	5月	8月	11月",8月,未定,0000-00662,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,"2024年9月より契約金額変更11,000(税抜き)→9,000(税抜き)",,
E-000000418,2025/7/29 11:37,契約中,1,佐世保,,2023年2月,他社,NS-345,,一般,YP4,1,9000,制約なし,クギマチビル　２号機,ｸｷﾞﾏﾁﾋﾞﾙﾆｺﾞｳｷ,857-1162,長崎県佐世保市卸本町21-3,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=KUGIMACHI&ss=ypid.YN5286x4686224035054459053&ppois=33.15085983276367_129.76759338378906_KUGIMACHI_YN5286x4686224035054459053~&cp=33.15086~129.767593&v=2&sV=1,0956-32-4134,,ロープ式エレベーター,,三菱,,AC2,,,,,ロープ式,,1993/11/1,,H6-925,9人,,600㎏,,45m/min,,4st,,,,,"2月	5月	8月	11月",8月,未定,0000-00663,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,"2024年9月より契約金額変更11,000(税抜き)→9,000(税抜き)",,
E-000000419,2025/7/29 11:37,契約中,1,佐世保,,2023年6月,他社,NS-364,,一般,YP4,1,11000,制約なし,ＨＯＴＥＬ２１,ﾎﾃﾙﾄｳｪﾝﾃｨﾜﾝ,857-0802,長崎県佐世保市高天町4-10,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92857-0802%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E5%A4%A9%E7%94%BA4-10&ppois=33.172810377404744_129.72622561618635_%E3%80%92857-0802%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E9%AB%98%E5%A4%A9%E7%94%BA4-10_~&cp=33.17281~129.726226&v=2&sV=1&FORM=MIRE&qpvt=%e4%bd%90%e4%b8%96%e4%bf%9d%e5%b8%82%e9%ab%98%e5%a4%a9%e7%94%ba4-10,0956-22-3323,,ロープ式エレベーター,,三菱,,VFCL,,2027年12月,,,ロープ式,,1990/4/1,,H4-387,6人,,450㎏,,60m/min,,4st,,,,,"3月	6月	9月	12月",9月,未定,0000-00517,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000420,2025/7/29 11:37,契約中,1,佐世保,,2023年3月,他社,NS-346,,一般,YP4,1,11000,制約なし,ロックスコート,ﾛｯｸｽｺｰﾄ,857-0054,長崎県佐世保市栄町4-21,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92857-0054%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E6%A0%84%E7%94%BA4-21&ppois=33.173007391584_129.7194123818102_%E3%80%92857-0054%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E6%A0%84%E7%94%BA4-21_~&cp=33.173007~129.719412&v=2&sV=1&FORM=MIRE&qpvt=%e4%bd%90%e4%b8%96%e4%bf%9d%e5%b8%82%e6%a0%84%e7%94%ba4-21,,,ロープ式エレベーター,,三菱,,VFDLA,,,,,ロープ式,,1996/6/1,,H8-708,9人,,600㎏,,60m/min,,6st,,,,,"3月	6月	9月	12月",12月,未定,0000-00802,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000421,2025/7/29 11:37,契約中,1,佐世保,,2022年12月,他社,NS-337,,一般,YP4,1,11000,制約なし,介護付有料老人ホームさくらプレイス広田　１号機,ｶｲｺﾞﾂｷﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｻｸﾗﾌﾟﾚｲｽﾋﾛﾀｲﾁｺﾞｳｷ,859-3223,長崎県佐世保市広田町4-3-2,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0&ss=ypid.YN5286x5480151889952625035&ppois=33.12027359008789_129.7960662841797_%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0_YN5286x5480151889952625035~&cp=33.120274~129.796066&v=2&sV=1,0956-56-6100,,ルームレスエレベーター,,三菱,,VFGLF,,,,,ルームレス,,2025/12/21,,E-GN-829,9人,,600㎏,,45m/min,,2st,,,,,"3月	6月	9月	12月",12月,未定,0000-02023,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000422,2025/7/29 11:37,契約中,1,佐世保,,2022年12月,他社,NS-338,,一般,YP4,1,11000,制約なし,介護付有料老人ホームさくらプレイス広田　２号機,ｶｲｺﾞﾂｷﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｻｸﾗﾌﾟﾚｲｽﾋﾛﾀﾆｺﾞｳｷ,859-3223,長崎県佐世保市広田町4-3-2,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0&ss=ypid.YN5286x5480151889952625035&ppois=33.12027359008789_129.7960662841797_%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0_YN5286x5480151889952625035~&cp=33.120274~129.796066&v=2&sV=1,0956-56-6100,,ルームレスエレベーター,,フジテック,,エクシオール,,,,,ルームレス,,2025/11/13,,EJA2630,9人,,600㎏,,45m/min,,2st,,,,,"3月	6月	9月	12月",12月,未定,0000-01699,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000423,2025/7/29 11:37,契約中,1,佐世保,,2022年12月,他社,NS-339,,一般,YP4,1,11000,制約なし,介護付有料老人ホームさくらプレイス広田　３号機,ｶｲｺﾞﾂｷﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｻｸﾗﾌﾟﾚｲｽﾋﾛﾀｻﾝｺﾞｳｷ,859-3223,長崎県佐世保市広田町4-3-2,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0&ss=ypid.YN5286x5480151889952625035&ppois=33.12027359008789_129.7960662841797_%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0_YN5286x5480151889952625035~&cp=33.120274~129.796066&v=2&sV=1,0956-56-6100,,ルームレスエレベーター,,フジテック,,エクシオール,,,,,ルームレス,,2025/11/13,,EJA2629,9人,,600㎏,,45m/min,,2st,,,,,"3月	6月	9月	12月",12月,未定,0000-01700,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000424,2025/7/29 11:37,契約中,1,佐世保,,2022年12月,他社,NS-340,,一般,YP4,1,3000,制約なし,介護付有料老人ホームさくらプレイス広田　４号機,ｶｲｺﾞﾂｷﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｻｸﾗﾌﾟﾚｲｽﾋﾛﾀﾖﾝｺﾞｳｷ,859-3223,長崎県佐世保市広田町4-3-2,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0&ss=ypid.YN5286x5480151889952625035&ppois=33.12027359008789_129.7960662841797_%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%BB%E5%BA%83%E7%94%B0_YN5286x5480151889952625035~&cp=33.120274~129.796066&v=2&sV=1,0956-56-6100,,リフト(フロアタイプ),,菱電,,,,,,,,,,,,,,200kg,,,,2st,,,,,"3月	6月	9月	12月",12月,未定,0000-02024,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000425,2025/7/29 11:37,契約中,1,佐世保,,2022年12月,他社,NS-336,,一般,YP4,1,11000,制約なし,介護付有料老人ホームさくらプレイス,ｶｲｺﾞﾂｷﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｻｸﾗﾌﾟﾚｲｽ,859-6305,長崎県佐世保市吉井町直谷1242-2,https://www.bing.com/maps?&mepi=109~~TopOfPage~Address_Link&ty=18&q=%E4%BB%8B%E8%AD%B7%E4%BB%98%E6%9C%89%E6%96%99%E8%80%81%E4%BA%BA%E3%83%9B%E3%83%BC%E3%83%A0%20%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9&ss=ypid.YN5286x2316453173783191885&ppois=33.27980041503906_129.69293212890625_%E4%BB%8B%E8%AD%B7%E4%BB%98%E6%9C%89%E6%96%99%E8%80%81%E4%BA%BA%E3%83%9B%E3%83%BC%E3%83%A0%20%E3%81%95%E3%81%8F%E3%82%89%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9_YN5286x2316453173783191885~&cp=33.2798~129.692932&v=2&sV=1,0956-64-3888,,ルームレスエレベーター,,オーチス,,REVO,,,,,ルームレス,,2025/12/5,,JMA21293ADY,9人,,600㎏,,45m/min,,2st,PRIME（jes),LTE,,,"3月	6月	9月	12月",7月,6月,0000-01410,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000426,2025/7/29 11:37,契約中,1,佐世保,,2023年7月,他社,NS-368,,一般,YP4,1,9000,制約なし,メモリード早岐駅前　１号機,ﾒﾓﾘｰﾄﾞﾊｲｷｴｷﾏｴｲﾁｺﾞｳｷ,859-3215,長崎県佐世保市早岐町1-15-11,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92859-3215%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E6%97%A9%E5%B2%901%E4%B8%81%E7%9B%AE15-11&ppois=33.13419654362402_129.79868696401235_%E3%80%92859-3215%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E6%97%A9%E5%B2%901%E4%B8%81%E7%9B%AE15-11_~&cp=33.134197~129.798687&v=2&sV=1&FORM=MIRE&qpvt=%e4%bd%90%e4%b8%96%e4%bf%9d%e5%b8%82%e6%97%a9%e5%b2%90%e7%94%ba1-15-11,0956-76-7971,,ロープ式エレベーター,,三菱,,VFGLBRN,,,,,ロープ式,,2025/9/20,,M-ZG-1CI,9人,,600㎏,,105m/min,,7st,,,,,"1月	4月	7月	10月",1月,未定,0000-00394,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000427,2025/7/29 11:37,契約中,1,佐世保,,2023年7月,他社,NS-369,,一般,YP4,1,9000,制約なし,メモリード早岐駅前　２号機,ﾒﾓﾘｰﾄﾞﾊｲｷｴｷﾏｴﾆｺﾞｳｷ,859-3215,長崎県佐世保市早岐町1-15-11,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92859-3215%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E6%97%A9%E5%B2%901%E4%B8%81%E7%9B%AE15-11&ppois=33.13419654362402_129.79868696401235_%E3%80%92859-3215%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E6%97%A9%E5%B2%901%E4%B8%81%E7%9B%AE15-11_~&cp=33.134197~129.798687&v=2&sV=1&FORM=MIRE&qpvt=%e4%bd%90%e4%b8%96%e4%bf%9d%e5%b8%82%e6%97%a9%e5%b2%90%e7%94%ba1-15-11,0956-76-7971,,ロープ式エレベーター,,三菱,,VFGLBRN,,,,,ロープ式,,2025/9/20,,M-ZG-1CI,9人,,600㎏,,105m/min,,7st,,,,,"1月	4月	7月	10月",1月,未定,0000-00395,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000428,2025/7/4 9:43,解約,0,佐世保,,2023年8月,他社,NS-374,,一般,YP4,1,11000,制約なし,【解約】ホテルペイパームーン　１号機,ﾎﾃﾙﾍﾟｲﾊﾟｰﾑｰﾝｲﾁｺﾞｳｷ,857-0064,長崎県佐世保市赤崎町913-3,https://www.bing.com/maps?&mepi=109~~TopOfPage~Address_Link&ty=18&q=%E3%83%9A%E3%82%A4%E3%83%91%E3%83%BC%E3%83%A0%E3%83%BC%E3%83%B3&ss=ypid.YN5286x11480873117583038027&ppois=33.15573501586914_129.70204162597656_%E3%83%9A%E3%82%A4%E3%83%91%E3%83%BC%E3%83%A0%E3%83%BC%E3%83%B3_YN5286x11480873117583038027~&cp=33.155735~129.702042&v=2&sV=1,0956-28-5959,,ロープ式エレベーター,,オーチス,,,,,,,ロープ式,,,,,6人,,450㎏,,,,7st,,,,,"2月	5月	8月	11月",,未定,,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000429,2025/7/4 9:43,解約,0,佐世保,,2023年8月,他社,NS-375,,一般,YP4,1,11000,制約なし,【解約】ホテルペイパームーン　２号機,ﾎﾃﾙﾍﾟｲﾊﾟｰﾑｰﾝﾆｺﾞｳｷ,857-0064,長崎県佐世保市赤崎町913-3,https://www.bing.com/maps?&mepi=109~~TopOfPage~Address_Link&ty=18&q=%E3%83%9A%E3%82%A4%E3%83%91%E3%83%BC%E3%83%A0%E3%83%BC%E3%83%B3&ss=ypid.YN5286x11480873117583038027&ppois=33.15573501586914_129.70204162597656_%E3%83%9A%E3%82%A4%E3%83%91%E3%83%BC%E3%83%A0%E3%83%BC%E3%83%B3_YN5286x11480873117583038027~&cp=33.155735~129.702042&v=2&sV=1,0956-28-5959,,ロープ式エレベーター,,オーチス,,,,,,,ロープ式,,,,,6人,,450㎏,,,,7st,,,,,"2月	5月	8月	11月",,未定,,ジャパンエレベーターサービス九州株式会社,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽｷｭｳｼｭｳｶﾌﾞｼｷｶｲｼｬ,,,,812-0013,福岡県福岡市博多区博多駅東1-18-25　第五博多偕成ビル2階,092-436-5050,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,,,,,,,,,,,,,,
E-000000430,2025/7/31 12:46,契約中,1,佐世保,,2021年6月,自社,N41-0013,107-0673-01,一般,YP4V,1,12000,制約なし,嬉野温泉　うれしの元湯,ｳﾚｼﾉｵﾝｾﾝ ｳﾚｼﾉﾓﾄﾕ,843-0301,佐賀県嬉野市嬉野町下宿乙2202-8,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%81%86%E3%82%8C%E3%81%97%E3%81%AE%E5%85%83%E6%B9%AF&ss=ypid.YN5286x7354387103484095176&ppois=33.09755325317383_129.98159790039062_%E3%81%86%E3%82%8C%E3%81%97%E3%81%AE%E5%85%83%E6%B9%AF_YN5286x7354387103484095176~&cp=33.097553~129.981598&v=2&sV=1,0954-20-2111,0954-43-1816,ロープ式エレベーター,,クマリフト,,インバーター,,,,,ロープ式,,2025/10/18,,154000500,,,500kg,,45m/min,,6st,,,,,"1月	4月	7月	10月",8月,7月,001-0306,大成不動産システム株式会社,ﾀｲｾｲﾌﾄﾞｳｻﾝｼｽﾃﾑｶﾌﾞｼｷｶｲｼｬ,,,,852-8053,長崎県長崎市葉山1-23-5,0954-42-2111,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",大成不動産システム株式会社,ﾀｲｾｲﾌﾄﾞｳｻﾝｼｽﾃﾑｶﾌﾞｼｷｶｲｼｬ,852-8053,長崎県長崎市葉山１－２３－５,095-855-1235,,佐賀嬉野温泉旅館うれしの元湯,ｻｶﾞｳﾚｼﾉｵﾝｾﾝﾘｮｶﾝｳﾚｼﾉﾓﾄﾕ,843-0301,佐賀県嬉野市嬉野町大字下宿乙２２０２－８,0954-20-2111,,,,
